number	type	latency	duration
1.000000	35	1.000000	1.000000
2.000000	45	2.000000	1.000000
3.000000	65	3.000000	1.000000
4.000000	25	4.000000	1.000000
5.000000	55	5.000000	1.000000
6.000000	155	6.000000	1.000000
7.000000	105	7.000000	1.000000
8.000000	55	8.000000	1.000000
9.000000	155	9.000000	1.000000
10.000000	15	10.000000	1.000000
11.000000	35	11.000000	1.000000
12.000000	45	12.000000	1.000000
13.000000	55	13.000000	1.000000
14.000000	155	14.000000	1.000000
15.000000	105	15.000000	1.000000
16.000000	55	16.000000	1.000000
17.000000	115	17.000000	1.000000
18.000000	25	18.000000	1.000000
19.000000	155	19.000000	1.000000
20.000000	15	20.000000	1.000000
21.000000	35	21.000000	1.000000
22.000000	45	22.000000	1.000000
23.000000	55	23.000000	1.000000
24.000000	155	24.000000	1.000000
25.000000	105	25.000000	1.000000
26.000000	55	26.000000	1.000000
27.000000	155	27.000000	1.000000
28.000000	15	28.000000	1.000000
29.000000	35	29.000000	1.000000
30.000000	45	30.000000	1.000000
31.000000	55	31.000000	1.000000
32.000000	155	32.000000	1.000000
33.000000	105	33.000000	1.000000
34.000000	55	34.000000	1.000000
35.000000	155	35.000000	1.000000
36.000000	15	36.000000	1.000000
37.000000	35	37.000000	1.000000
38.000000	45	38.000000	1.000000
39.000000	55	39.000000	1.000000
40.000000	155	40.000000	1.000000
41.000000	105	41.000000	1.000000
42.000000	55	42.000000	1.000000
43.000000	155	43.000000	1.000000
44.000000	15	44.000000	1.000000
45.000000	35	45.000000	1.000000
46.000000	45	46.000000	1.000000
47.000000	55	47.000000	1.000000
48.000000	155	48.000000	1.000000
49.000000	105	49.000000	1.000000
50.000000	55	50.000000	1.000000
51.000000	155	51.000000	1.000000
52.000000	15	52.000000	1.000000
53.000000	35	53.000000	1.000000
54.000000	45	54.000000	1.000000
55.000000	65	55.000000	1.000000
56.000000	65	56.000000	1.000000
57.000000	165	57.000000	1.000000
58.000000	125	58.000000	1.000000
59.000000	75	59.000000	1.000000
60.000000	15	60.000000	1.000000
61.000000	200	61.000000	1.000000
62.000000	210	62.000000	1.000000
63.000000	31	63.000000	1.000000
64.000000	41	64.000000	1.000000
65.000000	111	65.000000	1.000000
66.000000	21	66.000000	1.000000
67.000000	101	67.000000	1.000000
68.000000	51	68.000000	1.000000
69.000000	151	69.000000	1.000000
70.000000	151	70.000000	1.000000
71.000000	51	71.000000	1.000000
72.000000	11	72.000000	1.000000
73.000000	31	73.000000	1.000000
74.000000	41	74.000000	1.000000
75.000000	101	75.000000	1.000000
76.000000	51	76.000000	1.000000
77.000000	151	77.000000	1.000000
78.000000	151	78.000000	1.000000
79.000000	61	79.000000	1.000000
80.000000	21	80.000000	1.000000
81.000000	51	81.000000	1.000000
82.000000	11	82.000000	1.000000
83.000000	31	83.000000	1.000000
84.000000	41	84.000000	1.000000
85.000000	141	85.000000	1.000000
86.000000	21	86.000000	1.000000
87.000000	101	87.000000	1.000000
88.000000	51	88.000000	1.000000
89.000000	151	89.000000	1.000000
90.000000	151	90.000000	1.000000
91.000000	51	91.000000	1.000000
92.000000	11	92.000000	1.000000
93.000000	31	93.000000	1.000000
94.000000	41	94.000000	1.000000
95.000000	101	95.000000	1.000000
96.000000	51	96.000000	1.000000
97.000000	161	97.000000	1.000000
98.000000	21	98.000000	1.000000
99.000000	151	99.000000	1.000000
100.000000	151	100.000000	1.000000
101.000000	51	101.000000	1.000000
102.000000	11	102.000000	1.000000
103.000000	31	103.000000	1.000000
104.000000	41	104.000000	1.000000
105.000000	101	105.000000	1.000000
106.000000	51	106.000000	1.000000
107.000000	151	107.000000	1.000000
108.000000	151	108.000000	1.000000
109.000000	51	109.000000	1.000000
110.000000	11	110.000000	1.000000
111.000000	31	111.000000	1.000000
112.000000	41	112.000000	1.000000
113.000000	101	113.000000	1.000000
114.000000	51	114.000000	1.000000
115.000000	151	115.000000	1.000000
116.000000	151	116.000000	1.000000
117.000000	51	117.000000	1.000000
118.000000	11	118.000000	1.000000
119.000000	31	119.000000	1.000000
120.000000	41	120.000000	1.000000
121.000000	111	121.000000	1.000000
122.000000	1	122.000000	1.000000
123.000000	161	123.000000	1.000000
124.000000	181	124.000000	1.000000
125.000000	61	125.000000	1.000000
126.000000	11	126.000000	1.000000
127.000000	200	127.000000	1.000000
128.000000	210	128.000000	1.000000
129.000000	32	129.000000	1.000000
130.000000	42	130.000000	1.000000
131.000000	52	131.000000	1.000000
132.000000	102	132.000000	1.000000
133.000000	52	133.000000	1.000000
134.000000	102	134.000000	1.000000
135.000000	152	135.000000	1.000000
136.000000	12	136.000000	1.000000
137.000000	32	137.000000	1.000000
138.000000	42	138.000000	1.000000
139.000000	52	139.000000	1.000000
140.000000	102	140.000000	1.000000
141.000000	52	141.000000	1.000000
142.000000	102	142.000000	1.000000
143.000000	162	143.000000	1.000000
144.000000	22	144.000000	1.000000
145.000000	152	145.000000	1.000000
146.000000	12	146.000000	1.000000
147.000000	32	147.000000	1.000000
148.000000	42	148.000000	1.000000
149.000000	52	149.000000	1.000000
150.000000	102	150.000000	1.000000
151.000000	52	151.000000	1.000000
152.000000	102	152.000000	1.000000
153.000000	152	153.000000	1.000000
154.000000	12	154.000000	1.000000
155.000000	32	155.000000	1.000000
156.000000	42	156.000000	1.000000
157.000000	52	157.000000	1.000000
158.000000	102	158.000000	1.000000
159.000000	52	159.000000	1.000000
160.000000	102	160.000000	1.000000
161.000000	152	161.000000	1.000000
162.000000	12	162.000000	1.000000
163.000000	32	163.000000	1.000000
164.000000	42	164.000000	1.000000
165.000000	52	165.000000	1.000000
166.000000	102	166.000000	1.000000
167.000000	52	167.000000	1.000000
168.000000	102	168.000000	1.000000
169.000000	162	169.000000	1.000000
170.000000	22	170.000000	1.000000
171.000000	152	171.000000	1.000000
172.000000	12	172.000000	1.000000
173.000000	32	173.000000	1.000000
174.000000	42	174.000000	1.000000
175.000000	52	175.000000	1.000000
